_id,Project ID,Addresses,Anchor Address,Status,Ward Number,Ward Name,Affordable Homes Approved (2017 - Present),Total ARH Approved (2017 - Present),Rent-Controlled Market Units Approved,RGI Homes Approved,geometry
177,ARH0254,1117 Danforth Avenue,1117 Danforth Ave,Under Review,14,Toronto-Danforth,14,40,41,26,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.334058, 43.680931]]}"
178,ARH0255,1113-1125 Dundas Street West,1113 Dundas Street W,Pre-Planning,10,Spadina-Fort York,28,28,68,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.41972082, 43.649471]]}"
179,ARH0257,191-199 College Street and 74-76 Henry Street,191 College St,Under Review,11,University-Rosedale,408,408,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.39478277, 43.658842]]}"
180,ARH0258,34-70 Montgomery Avenue,34 Montgomery Ave,Under Review,8,Eglinton-Lawrence,10,10,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.40002192, 43.709744]]}"
181,ARH0259,"245, 251, 257 Queen Street East and 348, 354 Richmond Street East",348 Richmond St. E,Under Review,13,Toronto Centre,30,30,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.36857932, 43.653979]]}"
182,ARH0260,"261-285 Queen Street East, 360, 384, 410 Richmond Street East and 90, 106 Ontario Street",261 Queen St. E.,Under Review,13,Toronto Centre,13,13,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.36816116, 43.654722]]}"
183,ARH0261,8 Dawes Road,8 Dawes Rd.,Under Review,19,Beaches-East York,12,12,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.2966325, 43.687727]]}"
184,ARH0262,"386-394 Symington Avenue, 485 Perth Avenue & 17 Kingsley Avenue",386 Symington Ave,Under Review,9,Davenport,6,6,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.45267292, 43.66785]]}"
185,ARH0263,309 Cherry Street,309 Cherry St.,Under Review,14,Toronto-Danforth,97,97,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3532824, 43.646925]]}"
186,ARH0264,2575 & 2625 Danforth Avenue; 2681 Danforth Avenue;and 2721 Danforth Avenue,2575 Danforth Ave,Under Review,19,Beaches-East York,47,47,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.30141423, 43.693568]]}"
187,ARH0265,15 Denison Avenue,15 Denison Ave,Pre-Planning,10,Spadina-Fort York,80,80,0,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.40046556, 43.648606]]}"
188,ARH0266,267 & 275 Merton Street,275 Merton St,Pre-Planning,12,Toronto-St. PaulÂs,135,135,312,0,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.387918, 43.697772]]}"
